region_id,region_label,prefix,maker,maker_zh,maker_ja,maker_en,label_ja,code_read,pad,format,dmm_digit,status,notes,sources
japan_censored,日本有码,KAWD,kawaii / 卡哇伊,kawaii / 卡哇伊,kawaii*,kawaii,,std3_dmm,3,{prefix}-{num},,active,上一代 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,KBKD,センタービレッジ,,センタービレッジ,,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖) · 熟女 · 用户确认,local-db|manual|sehua
japan_censored,日本有码,KCDA,デジタルアーク,,デジタルアーク,,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖),bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,KIRE,SODクリエイト,,SODクリエイト,,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=86,bitmagnet|local-db
japan_censored,日本有码,KIWVR,Million / 百万,Million / 百万,ミリオン,Million,,std3_dmm,3,{prefix}-{num},,active,VR · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,KKBT,SODクリエイト,,SODクリエイト,,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=7,bitmagnet|local-db
japan_censored,日本有码,KKTN,SODクリエイト,,SODクリエイト,,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=22,bitmagnet|local-db
japan_censored,日本有码,KMHR,SODクリエイト,,SODクリエイト,,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=71,bitmagnet|local-db
japan_censored,日本有码,KMHRS,SODクリエイト,,SODクリエイト,,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=46,bitmagnet|local-db
japan_censored,日本有码,KOJA,Other Censored / 其他有码,Other Censored / 其他有码,その他有码,Other Censored,,std3_dmm,3,{prefix}-{num},,fallback,库内有片；厂牌署名不明，归入其他有码兜底（用户确认：不删）,
japan_censored,日本有码,KRND,Hon-Naka / 本中,Hon-Naka / 本中,本中,Hon-Naka,,std3_dmm,3,{prefix}-{num},,active,旁支 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,KSBJ,KSB Kikaku / KSB企画,KSB,KSB企画,KSB Kikaku,,std3_dmm,3,{prefix}-{num},,active,本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
japan_censored,日本有码,KSFN,SODクリエイト,,SODクリエイト,,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=18,bitmagnet|local-db
japan_censored,日本有码,KTDS,ケートライブ,,ケートライブ,,,std3_dmm,3,{prefix}-{num},,active,本地库高频确认(≥100帖) · TMA関連 · 用户确认,local-db|manual|sehua
japan_censored,日本有码,KTRA,K-Tribe / K部落,,ケートライブ,K-Tribe,,std3_dmm,3,{prefix}-{num},,active,色花堂有码列表×2 · DMM未命中·待复核,bitmagnet|catalog-sync|local-db|missav|sehuatangForum
japan_censored,日本有码,KUSE,SODクリエイト,,SODクリエイト,,,std3_dmm,3,{prefix}-{num},,active,历史扩前缀 movieCount=41,bitmagnet|local-db
japan_censored,日本有码,KWBD,kawaii / 卡哇伊,kawaii / 卡哇伊,kawaii*,kawaii,,std3_dmm,3,{prefix}-{num},,active,精选 · 本地库确认,bitmagnet|catalog-sync|dmm|local-db|sehua
